0.8215672084,0.0172682590,0.6259509334,-0.4622604687,-0.2927134318,0.6041954821,-0.5347436975,-0.4747124379,-0.6821366419,-0.0789517516,1.0082982056,-0.3445112532,-0.7326859256,0.3976549891,-0.7177524192,0.8404320765,-0.0379165718,0.6503745781,-0.5256423301,-0.3547391606,-0.2921067794,0.3501289260,-0.7399997047,0.1261665126
0.6664100588,-0.1168831081,0.7103564161,0.7441613203,-0.0366839885,-0.4650894039,-0.5289351930,0.5604718303,-0.4926690927,0.1194070205,0.7613822832,-0.1404010275,0.6758652713,-0.1124398014,0.2431919720,-0.4443653615,0.7198082121,-0.5612038586,0.1637043907,-0.8556641117,0.6359299509,-0.6693800925,-0.7004796835,0.2854222755
0.7405479569,0.2464965524,0.3973053588,-0.2176178227,-0.2244665875,0.4942270187,-0.3019375289,-0.3768686226,-0.4704662124,-0.2394797946,0.8111073949,-0.2422364466,-0.6282883835,0.2368958314,-0.4713206648,0.7549994349,0.2276037332,0.4072046937,-0.2691370704,-0.3237579199,-0.1563412433,0.4531389781,-0.3900602214,0.1188731728
0.7480629239,0.4169988692,0.3731545761,-0.0962583019,-0.4419738204,0.4869101303,-0.4387939208,-0.5244275543,-0.6013737260,-0.1660123145,0.9936913011,-0.2824590299,-0.6956245984,0.3445332666,-0.6059053715,0.9791024373,0.0493543965,0.5315795873,-0.3389556272,-0.4624600366,-0.2693386503,0.4571134150,-0.7505084734,0.0548051846
-0.0352433044,0.5038485847,-0.2263859519,0.4395856116,-0.6345440880,0.0625110873,0.1645966961,-0.0390006344,-0.4983837991,0.4847964675,-0.4980603090,0.7630246134,0.4800835915,-0.4786343853,0.7646355410,0.1316941343,0.6160695742,0.4102722094,0.0423585035,-0.1405396764,-0.2793302408,-0.2736324742,-0.3901488337,0.2561047592
0.6885556525,0.1178683158,0.4881412867,-0.2915206412,-0.3937498808,0.5385916329,-0.4701127502,-0.4184095688,-0.5177976640,-0.2320961378,0.8125319426,-0.2229779600,-0.7240215464,0.1880273845,-0.5042558565,0.7060247113,0.0829326342,0.5039517545,-0.4102849728,-0.3678709908,-0.1715311184,0.3883168297,-0.5265000918,0.1065345266
0.6431013584,0.1611455213,0.3489500365,-0.2389757363,-0.2749443898,0.5517793563,-0.5681128505,-0.2883983333,-0.3860972055,-0.3452625654,0.8234609261,-0.0778449331,-0.8134140255,0.2562182659,-0.2896893331,0.6512280988,0.1490775730,0.3516531407,-0.4505682051,-0.2801803878,-0.0697426402,0.2954982404,-0.4134538109,0.0285630343
0.4467378312,0.5166952762,0.5640939159,-0.5598604946,0.0447196219,0.3460085680,-0.1402441625,-0.6364015845,-0.4308041301,0.2636863899,0.5115880987,-0.7904501490,-0.2337789134,-0.1878174772,-0.8899566932,0.4415418918,0.5001712989,0.5987398453,-0.2788179642,-0.3537062337,-0.2947601092,0.2428288760,-0.1936200416,0.5236415968
0.5203820627,0.1508870301,0.2148975007,-0.0916471045,-0.2436408060,0.3929281063,-0.4404988930,-0.2417136140,-0.3601172293,-0.3983041348,0.5920417107,0.0998400257,-0.6862016212,0.1465471068,-0.1795760664,0.5268479146,0.1440461766,0.2141849552,-0.3412647608,-0.2377936252,-0.1517721223,0.2639023467,-0.3294197602,-0.1268860086
-0.2461639308,0.8890168630,-0.5806356083,0.2592397106,-0.6056668321,0.1519200282,-0.1057026526,0.1278408340,-0.9070027110,0.3283008464,-0.4832152948,0.7145004745,0.3323365982,-0.1655835177,0.7316119156,0.1082415714,1.0285173000,0.2258202191,-0.2969118506,0.1028276691,-0.6248681105,-0.7072163475,-0.3815556162,-0.0949621707
-0.2922089354,0.6591776866,-0.5948665769,0.1515122920,-0.5046602660,0.0843835660,-0.1313451760,0.1250169521,-0.7611654687,0.2086468405,-0.2852255984,0.7339541220,0.2071323448,-0.2565650639,0.7331475295,-0.0178002080,0.9089816747,0.1980140164,-0.2741639813,-0.0274095929,-0.5044666389,-0.6523608268,-0.3243338055,-0.0033432733
-0.4226537022,0.7524794390,-0.6655829892,0.3355881316,-0.6637010909,0.2570482224,-0.0799663170,-0.0154164468,-0.9637818895,0.3254477520,-0.5486899313,0.7342732567,0.2666562633,-0.2958418038,0.7287341743,-0.1837537803,0.9446468030,0.1834648592,-0.3037507590,-0.1663765586,-0.7138255535,-0.8002881573,-0.5131474166,-0.1710428527
0.5653489867,-0.2036909905,0.7106578305,0.5432601741,0.1272923895,-0.4781860871,-0.5606241006,0.6221424815,-0.4210585943,0.1694686422,0.7377655868,0.0703694531,0.5516746334,-0.1040075378,0.3539216169,-0.5520082212,0.6450939781,-0.4234933123,0.3158454809,-0.7959500425,0.5370233011,-0.5318661912,-0.8108463513,0.0737786290
0.6786436436,0.3331483449,0.5079126717,-0.2065280385,-0.4214730699,0.5354021801,-0.6061834884,-0.2331719170,-0.5566863256,-0.1630802795,1.0099971110,-0.2793970205,-0.7936810189,0.2227477069,-0.5408519268,0.7186082873,0.2433720745,0.5557750679,-0.4198435232,-0.3197995603,-0.0527478825,0.3826566746,-0.4359574431,0.1154649737
0.4585394526,0.5893918530,0.5079683815,-0.5119783948,0.1845494587,0.3849624714,-0.2148880770,-0.6963845710,-0.2198947102,0.3812075844,0.2991000532,-0.7391009028,-0.1550841504,-0.4493406880,-0.6681975991,0.4408878921,0.5780017878,0.5917993822,-0.3243629565,-0.3626185158,0.0096561270,0.1265318723,-0.1265964574,0.6840903328
0.6184929962,0.1940580990,0.2577602822,-0.1644649709,-0.3083356868,0.5025139269,-0.4552222330,-0.2533350504,-0.3726591276,-0.1876887294,0.7504255442,-0.1111482194,-0.6664715269,0.2529135579,-0.2742601464,0.6920242292,0.0377253468,0.2875703892,-0.4218807484,-0.1747733317,-0.1413989198,0.4509328873,-0.3099855855,0.0686945625
0.0792510266,0.5563681204,0.6087741457,-0.7565842719,-0.0643251628,0.0278745719,0.0508091901,-0.7951479311,-0.4530700137,0.4480539054,0.4974699026,-0.7168531972,0.1645762689,-0.3935319826,-0.9243581657,0.0192351183,0.5056506210,0.7273798498,-0.2108890299,-0.5565464388,-0.2946149297,-0.0719198007,-0.1983618119,0.6456256848
0.7685577274,0.2746909925,0.1782978424,-0.1730212214,0.0042034706,0.6407358977,-0.5114818351,-0.5104494833,-0.2507089675,-0.2154292379,0.5895037783,-0.6037934321,-0.7527666717,-0.1001084663,-0.4108900958,0.7772945330,0.2635272300,0.1895442928,-0.4093484352,-0.3611505617,0.0070577146,0.4762693808,-0.3105766363,0.2471181332
-0.2706075570,0.4941896939,-0.5481910011,0.3132260871,-0.5757575829,0.2738060874,-0.0591354544,-0.0803004824,-0.7275112306,0.3469943366,-0.4559278037,0.6208999115,0.3155168710,-0.2491583633,0.6227624092,-0.0234034376,0.7145052914,0.1527232798,-0.2119883918,-0.1006426927,-0.5307002876,-0.5949884892,-0.4542662326,0.0051962476
0.5462795086,0.4894904081,0.3633428858,-0.1585665110,-0.5027533825,0.4870728187,-0.6427047907,-0.2622724525,-0.4743570785,-0.2605397789,1.0227463910,0.0104833860,-0.8446587985,0.3956789799,-0.3377549916,0.8327872765,-0.0036555895,0.4449067631,-0.4940620373,-0.3338455291,-0.1794845244,0.4512089999,-0.4935064010,0.0804363257
0.8506356157,-0.0190149062,0.3630015027,-0.1329183166,-0.4614012152,0.6738274406,-0.5710704019,-0.2869603168,-0.3345639718,-0.0825670061,0.7885817028,-0.0579301998,-0.7382336051,0.1134408515,-0.2428929151,0.8566217139,-0.0344451942,0.3663577911,-0.4413529406,-0.3327715762,-0.0363201038,0.4534503709,-0.5344601860,0.1633274346
-0.3232016652,0.7084827181,-0.7073139475,0.3605554840,-0.5723490593,0.1089465999,-0.1156527239,0.2773382991,-0.8932874801,0.3773318212,-0.4328904628,0.7449991593,0.3689147582,-0.3216255858,0.7630789983,0.0717712522,0.9778404479,0.3216684986,-0.2649755087,0.0441705362,-0.6448264592,-0.6161146135,-0.5195064067,-0.0758094807
0.7014307806,0.1106108609,0.2414268748,-0.1217491395,-0.1792027993,0.5602505689,-0.6023967429,-0.2062442685,-0.4193370205,-0.1796573036,0.8538175244,-0.0656376741,-0.7619228009,0.2620684853,-0.3115382487,0.7473471113,-0.0007805321,0.2531951813,-0.4976677064,-0.1927887027,-0.2042422277,0.3570307286,-0.4822600953,-0.0616627101
0.5611912963,-0.1929947218,0.6970360266,0.5368861435,0.0520721115,-0.4636680288,-0.5923768646,0.3385059720,-0.4496737582,0.1436085798,0.6824688809,-0.1320181870,0.5511900319,-0.1220067744,0.3579083008,-0.4535382084,0.5581135868,-0.5419717716,0.2936696804,-0.6364545361,0.6921311398,-0.6613573284,-0.6482948719,0.2772689913
0.2352072221,0.4484667353,0.7176226140,0.7724862238,-0.0277078785,-0.2562862875,-0.2331697521,-0.2722463032,-0.8052458564,0.2869932083,0.4394202369,-0.5346572144,0.4210871660,0.2812732712,0.3769098080,-0.1459464538,-0.1716569678,-0.9190730545,0.0274372699,0.1142149903,0.9022723825,-0.5161832747,-0.6724885187,0.3916177465
