0.002,1,3.552713678800501e-15,4.3683317359212207e-16,1,0.0000035731941972457848,-0.000005107095229761071,-7.758549671301605e-7,0.0004615384615384616,1.216667264993321,1.0999923029098655,-0.00075,0.5,-0.0000010790947775915123,-0.0008571428571428571,-0.3175071744551966,0.8440182829888713,0.0018461538461538463,0.9999973428270811,0.000005553678074626268,0.002,1.4283337134050635,1.0873211446740858,-0.002,0,1.65,0.002,1,1.65,0
0.004,1,3.552713678800501e-15,2.82645484094271e-16,1,0.000007159654410898403,-0.000020428383421953833,-0.000003103566131634161,0.0009230769230769232,1.2166690598800065,1.0999692115253745,-0.0015,0.5,-0.000004316726792484445,-0.0017142857142857142,-0.31750485048728927,0.8440182829888713,0.0036923076923076927,0.9999893712749419,0.00002221437090378222,0.004,1.4283189553982936,1.0873211446740858,-0.004,0,1.65,0.004,1,1.65,0
0.006,1,1.7763568394002505e-15,2.912197001679617e-16,1,0.000010772645136688496,-0.000045963872013088427,-0.000006983572239047548,0.0013846153846153847,1.2166720510468503,1.0999307255044835,-0.0022500000000000003,0.5,-0.00000971393902228535,-0.0025714285714285713,-0.3175009773517819,0.8440182829888713,0.005538461538461539,0.9999760852434055,0.00004998105441237122,0.006,1.4282943588177903,1.0873211446740858,-0.006,0,1.65,0.006,1,1.65,0
0.008,1,8.881784197001252e-16,3.768494451660066e-16,1,0.000014425427828200975,-0.00008171357314029134,-0.000012416604395270503,0.0018461538461538463,1.216676238027233,1.0998768442779012,-0.003,0.5,-0.00001727246955970406,-0.0034285714285714284,-0.3174955552653025,0.8440182829888713,0.007384615384615385,0.9999574845653634,0.0000888520221407104,0.008,1.42825992380976,1.0873211446740858,-0.008,0,1.65,0.008,1,1.65,0
0.01,1,1.7763568394002505e-15,9.421026105946088e-16,1,0.00001813125937376045,-0.0001276775032488616,-0.000019403685855610617,0.002307692307692308,1.2166816201675277,1.0998075670502905,-0.00375,0.5,-0.00002699475129767001,-0.004285714285714286,-0.3174885845313915,0.8440182829888713,0.009230769230769232,0.9999335690065232,0.00013882488574838475,0.01,1.4282156505789385,1.0873211446740858,-0.01,0,1.65,0.01,1,1.65,0
0.012,1,5.329070518200751e-15,1.8841538780621212e-16,1,0.000021903390570899184,-0.00018385568254917277,-0.000027946131725537145,0.0027692307692307695,1.2166881966267442,1.0997228928019247,-0.0045000000000000005,0.5,-0.00003888391148677403,-0.005142857142857143,-0.31748006554075053,0.8440182829888713,0.011076923076923078,0.9999043382650842,0.00019989657572359748,0.012,1.4281615393886515,1.0873211446740858,-0.012,0,1.65,0.012,1,1.65,0
0.014,1,5.329070518200751e-15,0,1,0.00002575506459760638,-0.0002502481343213097,-0.000038045548586560875,0.003230769230769231,1.2166959663760752,1.0996228202908194,-0.00525,0.5,-0.00005294377117819909,-0.006,-0.31746999877157084,0.8440182829888713,0.012923076923076924,0.9998697919713173,0.00027206334228559306,0.014,1.4280975905608844,1.0873211446740858,-0.014,0,1.65,0.014,1,1.65,0
0.016,1,3.552713678800501e-15,3.5940023734453695e-16,1,0.000029699515479522604,-0.0003268548840563817,-0.00004970383404017487,0.0036923076923076927,1.2167049281983424,1.099507348055337,-0.006,0.5,-0.00006917884453801448,-0.006857142857142857,-0.31745838478993216,0.8440182829888713,0.01476923076923077,0.9998299296870462,0.00035532075649014663,0.016,1.4280238044763691,1.0873211446740858,-0.016,0,1.65,0.016,1,1.65,0
0.018000000000000002,1,5.329070518200751e-15,1.205994580146273e-15,1,0.00003374996655233856,-0.00041367595845395874,-0.00006292317616083567,0.004153846153846155,1.2167150806873406,1.099376474417262,-0.006750000000000001,0.5,-0.000087594338034433,-0.007714285714285715,-0.31744522425027466,0.8440182829888713,0.01661538461538462,0.9997847509050302,0.0004496637115387788,0.018000000000000002,1.427940181574683,1.0873211446740858,-0.018000000000000002,0,1.65,0.018000000000000002,1,1.65,0
0.02,1,5.329070518200751e-15,1.6679962214220657e-15,1,0.00003791962891851656,-0.0005107113842543423,-0.00007770605287896617,0.004615384615384616,1.2167264222470835,1.0992301974853569,-0.0075,0.5,-0.00010819614951085744,-0.008571428571428572,-0.31743051789594323,0.8440182829888713,0.018461538461538463,0.9997342550482676,0.0005550864242792747,0.02,1.4278467223543725,1.0873211446740858,-0.02,0,1.65,0.02,1,1.65,0
0.022,1,7.105427357601002e-15,2.439042199359011e-15,1,0.00004222169989772051,-0.0006179611869349877,-0.00009405523125844537,0.005076923076923077,1.2167389510909499,1.0990685151593718,-0.00825,0.5,-0.00013099086710792988,-0.009428571428571427,-0.3174142665597996,0.8440182829888713,0.020307692307692308,0.9996784414691855,0.0006715824369323922,0.022,1.4277434273730778,1.0873211446740858,-0.022,0,1.65,0.022,1,1.65,0
0.024,1,1.3322676295501878e-14,3.473758483925013e-15,1,0.000046669361469899216,-0.0007354253892304456,-0.00011197376672956715,0.005538461538461539,1.2167526652407414,1.0988914251345467,-0.009000000000000001,0.5,-0.00015598576810556933,-0.010285714285714285,-0.3173964711649147,0.8440182829888713,0.022153846153846156,0.9996173094487502,0.0007991446189767143,0.024,1.427630297247689,1.0873211446740858,-0.024,0,1.65,0.024,1,1.65,0
0.026000000000000002,1,1.9539925233402755e-14,4.176345183384026e-15,1,0.00005127577871068327,-0.000863104009527548,-0.00013146500221657357,0.006000000000000001,1.2167675625256484,1.098698924906517,-0.009750000000000002,0.5,-0.0001831888176078871,-0.011142857142857144,-0.31737713272531376,0.8440182829888713,0.024000000000000004,0.9995508581954873,0.0009377651692685996,0.026000000000000002,1.4275073326545131,1.0873211446740858,-0.026000000000000002,0,1.65,0.026000000000000002,1,1.65,0
0.028,1,2.042810365310288e-14,5.998161984869307e-15,1,0.000056054098217873114,-0.0010009970600907965,-0.00015253256718543724,0.006461538461538462,1.2167836405811085,1.098491011776768,-0.0105,0.5,-0.0002126086671094384,-0.012,-0.3173562523468097,0.8440182829888713,0.02584615384615385,0.9994790868444006,0.0010874356183527651,0.028,1.4273745343294542,1.0873211446740858,-0.028,0,1.65,0.028,1,1.65,0
