reTau,imTau,coneDeficit,margin
0.4536669,1.67637,8.88178e-15,0.000158996
0.4999997,1.650193,2.00728e-13,0.00000609992
0.6730735,0.7395754,2.66454e-15,0.000130007
0.272406,0.6860079,2.66454e-15,0.000249310
0.5,1.679327,4.44089e-15,0.000452797
0.6731109,0.7395416,2.66454e-15,0.0000577774
0.6731102,0.7395422,4.44089e-15,0.0000684900
0.6731012,0.7395504,8.88178e-16,0.0000422141
0.1945317,0.5926388,5.32907e-15,0.00000243118
0.197571,0.5967476,3.55271e-15,0.0000186949
0.2068339,0.6090053,1.06581e-14,0.0000221045
0.2068953,0.6090853,6.21725e-15,0.00000923121
0.2068999,0.6090913,6.21725e-15,0.0000130773
