reTau,imTau,coneDeficit,margin
-0.8876347,0.906216,2.75335e-14,0.000375807
-0.8653158,0.8727198,7.09655e-13,0.00000470561
-0.8669546,0.8613302,2.89546e-13,0.00000975089
-0.8660265,0.8570542,1.87406e-13,8.98880e-7
-0.8290165,0.9108447,8.88178e-16,0.00000202576
-0.8283748,0.9103307,1.77636e-15,0.00000460493
-0.8133058,0.9005627,8.88178e-16,0.00000513371
-0.7364744,1.322258,1.77636e-15,0.0000185673
-0.7017882,1.342578,3.55271e-15,0.00000259554
-0.7000344,1.347406,3.55271e-15,8.27203e-8
-0.6766715,1.358585,2.66454e-15,0.0000184272
-0.6741494,1.365441,3.55271e-15,0.00000345496
-0.658612,1.371089,1.77636e-15,0.00000855886
-0.6530586,1.379673,3.55271e-15,0.00000395709
-0.6434977,1.380592,3.55271e-15,0.00000141895
-0.639072,1.389432,5.32907e-15,0.00000306156
-0.6315032,1.388253,2.66454e-15,0.00000208221
-0.6280954,1.397095,4.44089e-15,4.59632e-7
-0.6227756,1.394291,3.55271e-15,4.79468e-7
-0.6184928,1.403864,1.77636e-15,1.52001e-7
-0.6145569,1.399652,3.55271e-15,0.00000226760
-0.6101825,1.409701,7.99361e-15,6.13023e-8
-0.6074406,1.404452,5.32907e-15,7.22638e-7
-0.603708,1.41426,4.44089e-15,4.05210e-7
-0.602393,1.407903,8.88178e-16,6.89684e-7
-0.5986927,1.417828,5.32907e-15,3.09819e-7
-0.5974767,1.411247,3.55271e-15,3.32724e-7
-0.5974644,1.417196,1.77636e-15,0.00000100406
-0.5933981,1.421726,2.66454e-15,1.04877e-8
-0.5927379,1.41448,3.55271e-15,6.52357e-7
-0.5880536,1.425497,2.66454e-15,2.91342e-7
-0.5844916,1.428081,3.55271e-15,1.60200e-7
-0.5815353,1.430246,5.32907e-15,0.00000165455
-0.579081,1.432,3.55271e-15,2.95329e-7
-0.5788188,1.432205,1.77636e-15,9.12935e-7
-0.5771269,1.433427,3.55271e-15,1.21538e-7
-0.5765627,1.433825,6.21725e-15,9.39682e-8
-0.5761016,1.431947,7.10543e-15,1.48229e-8
-0.5759439,1.434232,7.78932e-13,5.16260e-8
-0.5757379,1.432194,4.44089e-15,3.26785e-7
-0.5740579,1.435639,1.77636e-15,2.47011e-7
-0.57303,1.436362,7.99361e-15,7.58286e-8
-0.5723654,1.436842,4.81393e-13,4.69153e-8
-0.5722637,1.436932,8.88178e-15,3.36966e-8
-0.5720755,1.437159,8.88178e-15,8.88545e-7
-0.5715452,1.437563,3.55271e-15,9.92586e-7
-0.5714236,1.437629,1.77636e-15,4.37619e-7
-0.5707278,1.43812,3.55271e-15,3.87615e-7
-0.5703805,1.43841,1.77636e-15,1.49731e-7
-0.5699402,1.438735,1.77636e-15,4.88098e-7
-0.5693472,1.439189,5.32907e-15,1.53173e-7
-0.5691984,1.439299,7.10543e-15,4.14619e-7
-0.5689512,1.439482,5.32907e-15,1.31704e-7
-0.5688011,1.439566,7.99361e-15,1.33767e-7
-0.5685679,1.439736,7.10543e-15,1.64781e-7
-0.5685473,1.439756,4.44089e-15,4.94220e-7
-0.5684547,1.439832,3.55271e-15,3.84722e-7
-0.5682757,1.439981,7.10543e-15,3.66133e-7
-0.5682392,1.439987,8.88178e-16,2.72143e-8
-0.5678526,1.440297,1.77636e-15,1.12407e-7
-0.5675667,1.440535,9.76996e-15,6.21224e-7
-0.5674144,1.440623,3.55271e-15,2.63519e-7
-0.5672758,1.440686,5.55112e-13,7.84912e-7
-0.5671733,1.440767,4.44089e-15,7.19752e-7
-0.5670443,1.440844,3.55271e-15,1.60451e-7
-0.5669185,1.440928,8.98837e-13,3.51237e-8
-0.5668087,1.441052,3.55271e-15,4.08366e-7
-0.5666225,1.441182,2.66454e-15,3.54810e-7
-0.5664949,1.441287,1.77636e-15,4.66833e-7
-0.5663979,1.441341,3.55271e-15,7.47288e-7
-0.5662615,1.441406,1.77636e-15,2.59699e-7
-0.566055,1.441577,1.77636e-15,6.80720e-8
-0.5659481,1.441662,7.10543e-15,2.06933e-8
-0.5658994,1.439182,5.32907e-15,1.34149e-7
-0.5658368,1.44173,6.21725e-15,5.05093e-7
